School Code,School Name,TOTAL_Enrollment,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",Total # of Classes,Average Class Size,Number of Students,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,% AP_Score 1-2,% AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
10505,Abington High,452,97,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,204,15.8,451,13270.84,114,94.7,0.9,0,0.9,3.5,0,124,94,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,70,123,31,27,11,0,1,8,46,40,20,9,43.9,56.1,98,520,498,516
10003,Beaver Brook Elementary School,580,135,23.3,1.9,1.9,6.7,88.4,0.5,0.2,0.3,325,24.6,643,13270.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,Center Elementary School,203,33,16.3,3.9,3,8.4,84.7,0,0,0,112,14.6,208,13270.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405,Frolio Middle School,328,71,21.6,2.4,1.8,6.1,89.3,0,0,0.3,218,21.1,342,13270.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,Woodsdale Elementary School,353,80,22.7,2,1.4,4.2,92.1,0,0,0.3,121,30.4,334,13270.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30025,Acushnet Elementary School,538,136,25.3,0.7,0.2,3.3,92.8,0.2,0,2.8,237,20.1,558,11860.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30305,Albert F Ford Middle School,417,82,19.7,0.7,0.2,1,97.4,0,0,0.7,309,16.9,426,11860.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,Agawam Early Childhood Center,151,45,29.8,4.6,8.6,12.6,71.5,0,0,2.6,16,11.9,191,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50505,Agawam High,1222,277,22.7,1.2,2.2,5.8,88.8,0,0.1,1.9,590,16.8,1242,14363.21,325,94.2,1.8,0,0.3,3.7,0,288,235,81.6,0,34.5,34,31.5,33.2,15.7,8.5,242,452,124,59,34,22,3,28,124,155,105,40,33.6,66.4,234,496,475,514
50405,Agawam Junior High,562,131,23.3,1.4,1.4,7.1,87,0,0,3,847,11.8,607,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,Benjamin J Phelps,385,103,26.8,2.1,2.9,4.9,88.1,0,0,2.1,229,16.8,361,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,Clifford M Granger,293,96,32.8,1.4,1,9.6,85,0,0.3,2.7,159,19.8,296,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50030,James Clark School,329,95,28.9,3,3.3,9.4,82.4,0,0,1.8,182,18.2,315,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50303,Roberta G. Doering School,599,180,30.1,2.5,4.2,7,83.3,0,0,3,348,16.8,598,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,Robinson Park,377,132,35,2.7,2.9,8,83,0,0,3.4,229,17.7,385,14363.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70005,Amesbury Elementary,388,92,23.7,4.1,0.5,6.2,84.3,0.5,0,4.4,171,20.4,423,13771.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70505,Amesbury High,594,87,14.6,1.3,1.2,4.2,90.7,0,0,2.5,380,16.7,621,13771.87,163,93.9,4.3,0,0.6,1.2,0,124,90,72.6,0,24.4,35.6,40,35.6,6.7,15.6,104,137,72,31,1,0,0,4,22,37,43,31,19,81,115,531,518,534
