time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-24T00:15:32.880Z,33.534,-116.7941667,9.98,0.86,ml,26,51,0.02218,0.27,ci,ci40244608,2022-04-24T00:19:03.475Z,"11km WSW of Anza, CA",earthquake,0.43,0.93,0.258,18,automatic,ci,ci
2022-04-24T00:03:10.680Z,33.7093333,-116.7686667,16.18,1.84,ml,66,19,0.04547,0.19,ci,ci40244600,2022-04-24T00:14:30.510Z,"6km SW of Idyllwild, CA",earthquake,0.18,0.36,0.168,25,automatic,ci,ci
2022-04-23T23:57:13.610Z,38.8344994,-122.7926636,2.14,1.42,md,33,45,0.004304,0.04,nc,nc73722505,2022-04-24T00:14:15.178Z,"6km WNW of Cobb, CA",earthquake,0.2,0.34,0.04,6,automatic,nc,nc
2022-04-23T23:57:07.449Z,11.2972,-87.1075,37.98,5.1,mb,,151,1.193,1.29,us,us6000hfye,2022-04-24T00:14:57.040Z,"84 km SW of Masachapa, Nicaragua",earthquake,3.4,7.4,0.026,491,reviewed,us,us
2022-04-23T23:33:19.000Z,19.2199993133545,-155.410507202148,32.310001373291,1.99000001,md,34,148,,0.119999997,hv,hv72993637,2022-04-23T23:36:25.120Z,"Hawaii region, Hawaii",earthquake,0.66,1,1.70000005,12,automatic,hv,hv
2022-04-23T23:31:38.620Z,32.9921667,-115.8746667,7.34,1.11,ml,15,76,0.07847,0.24,ci,ci40244584,2022-04-23T23:35:16.726Z,"24km WSW of Westmorland, CA",earthquake,0.43,1.06,0.162,17,automatic,ci,ci
2022-04-23T23:21:32.011Z,61.6829,-148.1435,23.6,1.1,ml,,,,0.4,ak,ak022579jr81,2022-04-23T23:23:29.679Z,"21 km SE of Chickaloon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-04-23T23:12:36.721Z,64.5869,-150.4325,0,1.3,ml,,,,0.82,ak,ak022579hu54,2022-04-23T23:15:45.615Z,"47 km SSE of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-23T22:54:46.740Z,17.9633333333333,-66.8441666666667,12.5,2.32,md,8,202,,0.22,pr,pr71345738,2022-04-23T23:14:19.330Z,"4 km SW of Indios, Puerto Rico",earthquake,1.02,0.8,0.0615001614331205,6,reviewed,pr,pr
2022-04-23T22:49:27.398Z,59.825,-153.0435,92.4,1.8,ml,,,,0.75,ak,ak0225794bb9,2022-04-23T22:52:35.167Z,"59 km E of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
